Solution,Power,Latency,Cost
0,682.7240988707264,3802.078056809862,197.75469502898304
1,682.7240988707264,3802.078056809862,197.75469502898304
2,705.7412624067547,3780.2431937431224,201.76182946979927
3,674.2046625178401,3857.373158232202,192.73765968068278
4,681.046952220158,3833.2900002546426,194.43701174805358
5,686.6906075994098,3792.839016416555,201.08208454656878
6,672.8947562252575,3954.3589905342055,190.48976756496538
7,674.5531279421918,3888.1850940347986,189.57234335061682
8,682.4722171650048,3832.2512188442424,192.79373196811315
9,680.8392281326244,3822.166362165912,197.34937215622128
10,696.3134845769564,3802.036048910531,197.65191831684248
11,690.6577803694086,3814.9993846668694,193.82608621271245
12,674.6187341476806,3886.1724871455162,191.94381503143418
13,693.9729055541601,3789.843146664128,201.37631985136733
14,675.0691111861873,3840.1030734954097,190.95953670542775
15,713.198144504737,3773.1903704943466,202.42254525505606
