Task,Model,ER-MIN,ER-MAX,ER-MEAN,ER-STD,ER-CV,GD-MIN,GD-MAX,GD-MEAN,GD-STD,GD-CV,IGD-MIN,IGD-MAX,IGD-MEAN,IGD-STD,IGD-CV,STE-MIN,STE-MAX,STE-MEAN,STE-STD,STE-CV,HV-MIN,HV-MAX,HV-MEAN,HV-STD,HV-CV,HAR-MIN,HAR-MAX,HAR-MEAN,HAR-STD,HAR-CV
350,NSGA-II,0.03977272727272727,0.11363636363636363,0.07784090909090909,0.018332120232842815,0.23550752999856464,4.70700975121937,8.007763191685743,6.13792206070609,0.856519891330966,0.13954557957232097,44.86079997808335,48.45725862458011,46.61819350529944,1.4419029566212895,0.03093004786762871,0.08321998225568923,3.328417705589929,0.8619494329075253,0.8853795580168318,1.0271827142228889,42222421.01882936,44216317.53421199,43291011.233366534,624025.5391949043,0.014414667650774043,0.7801995237332194,0.8170433871152152,0.7999452786267174,0.011530945330209963,0.014414667650774033
350,NSGA-III,0.03409090909090909,0.09090909090909091,0.06363636363636363,0.016428218516819273,0.25815771955001715,5.580813646134618,8.047784110709538,7.040251532875734,0.7873743971674038,0.11183895823758795,44.14400876945513,50.08114323230608,47.02509101707933,1.8758312662138052,0.03989000819865528,0.161233753443134,1.5350206722216069,0.5037769131885318,0.4018191156005526,0.7976131995754581,42887906.129512146,45160462.14329384,43799806.04009594,595495.1400591445,0.013595839659974898,0.7924965724073045,0.8344895959437532,0.8093469532893615,0.011003751406211357,0.013595839659974905
350,MO-ALO,0.03409090909090909,0.25,0.15056818181818182,0.0706124513462319,0.4689732617712005,0.5270568827290368,2.3366889662709003,1.3783352059791194,0.6446055519412942,0.46766965622371215,45.78036438229197,52.52665123738987,48.44692465139827,2.1744428645826823,0.04488299061764953,0.029263506990611674,1.031741036794113,0.2859095386465239,0.33587958423516406,1.1747757204086122,46834747.55046219,49987853.98961053,49054537.012772575,997954.1810677772,0.0203437692380612,0.8654275821071633,0.9236917006191409,0.9064455682740444,0.018440519467830402,0.020343769238061193
350,MO-SSA,0.16477272727272727,0.26704545454545453,0.21136363636363636,0.028837676228294362,0.13643631763924213,2.3100098068508212,5.116640194274141,3.5161770811570356,1.0235426382861132,0.29109530454857113,1.9222306916370402,3.326214063853101,2.573389294934465,0.4558465766054961,0.17713859986236746,0.07776433238322424,0.717653489083667,0.23857816220023792,0.17170042600327157,0.7196820715684947,48096361.566882834,51885164.097256474,49301792.98044743,1185660.8012059217,0.024049040197709287,0.8887400931142319,0.9587508091837456,0.9110144438516455,0.021909022980881994,0.024049040197709287
