Solution,Power,Latency,Cost
0,512.4139797461643,2715.4754677540705,162.10345398624676
1,512.4139797461643,2715.4754677540705,162.10345398624676
2,505.07387975062323,2838.603702617108,154.90285399589058
3,503.67444795574,2773.3724964838193,155.6945646496501
4,498.35974839239196,2826.4494620492865,157.6622390149711
5,508.62382192115786,2738.2430551177254,158.84805756565774
6,498.8854413872942,2880.7240645715865,156.4584567194689
7,513.1579585844831,2782.5139461687213,154.72749062776384
8,513.338704743557,2856.4416120122855,153.96859611234348
9,504.5827833569688,2761.2599189130556,160.1296217531339
10,499.79207452344855,2772.1580234295334,156.12741394723864
11,516.1500929950003,2768.415603662828,157.17357415376944
12,499.5428852824158,2748.4298573187803,160.83195291796213
13,503.88350780716786,2768.4926131371817,160.5293056540353
