Epoch,FrontSize,ArchiveSize,Time
1,64,14,0.28922510147094727
2,62,12,0.2822108268737793
3,58,8,0.2862677574157715
4,59,9,0.37197184562683105
5,60,10,0.285236120223999
6,64,14,0.28822898864746094
7,68,18,0.24637389183044434
8,73,23,0.25232696533203125
9,73,23,0.2602822780609131
10,75,25,0.2792623043060303
11,71,21,0.27424144744873047
12,70,20,0.26831603050231934
13,71,21,0.28921961784362793
14,71,21,0.26626038551330566
15,67,17,0.27031540870666504
16,64,14,0.2443394660949707
17,64,14,0.2583134174346924
18,63,13,0.2543163299560547
19,62,12,0.271240234375
20,62,12,0.29122233390808105
21,64,14,0.40990400314331055
22,63,13,0.2982347011566162
23,63,13,0.269254207611084
24,64,14,0.2832658290863037
25,64,14,0.2483363151550293
26,65,15,0.2672872543334961
27,64,14,0.2902212142944336
28,61,11,0.2632942199707031
29,58,8,0.2573130130767822
30,60,10,0.2662529945373535
31,60,10,0.2942490577697754
32,63,13,0.27525925636291504
33,64,14,0.247344970703125
34,62,12,0.2742605209350586
35,66,16,0.28823161125183105
36,68,18,0.2932147979736328
37,65,15,0.29421186447143555
38,68,18,0.2842385768890381
39,64,14,0.29421305656433105
40,66,16,0.2652904987335205
41,65,15,0.279252290725708
42,66,16,0.28822755813598633
43,66,16,0.2622983455657959
44,67,17,0.2812480926513672
45,65,15,0.29321980476379395
46,65,15,0.29520583152770996
47,63,13,0.2991974353790283
48,64,14,0.29118895530700684
49,65,15,0.34108591079711914
50,65,15,0.27725839614868164
51,66,16,0.26927947998046875
52,74,24,0.27426815032958984
53,73,23,0.27928757667541504
54,74,24,0.3057880401611328
55,73,23,0.2981898784637451
56,75,25,0.29921388626098633
57,74,24,0.31487202644348145
58,74,24,0.29697322845458984
59,74,24,0.3074920177459717
60,74,24,0.2807157039642334
61,76,26,0.2791554927825928
62,74,24,0.26223015785217285
63,74,24,0.2672717571258545
64,73,23,0.41399645805358887
65,71,21,0.3929471969604492
66,72,22,0.3201439380645752
67,74,24,0.29624247550964355
68,74,24,0.3021562099456787
69,76,26,0.29122114181518555
70,75,25,0.2832672595977783
71,76,26,0.28922557830810547
72,75,25,0.3181586265563965
73,75,25,0.29320502281188965
74,74,24,0.29023313522338867
75,75,25,0.3091716766357422
76,74,24,0.3321113586425781
77,72,22,0.29421377182006836
78,75,25,0.3151564598083496
79,74,24,0.2702775001525879
80,75,25,0.30318713188171387
81,75,25,0.3011939525604248
82,79,29,0.2951929569244385
83,76,26,0.2892601490020752
84,77,27,0.2842228412628174
85,77,27,0.28323984146118164
86,75,25,0.27523231506347656
87,77,27,0.29923248291015625
88,77,27,0.2982048988342285
89,76,26,0.3510603904724121
90,78,28,0.2732727527618408
91,77,27,0.3021864891052246
92,76,26,0.3849341869354248
93,75,25,0.27725791931152344
94,74,24,0.3420860767364502
95,72,22,0.43483638763427734
96,73,23,0.3082249164581299
97,71,21,0.26926112174987793
98,70,20,0.26130151748657227
99,69,19,0.3011620044708252
100,67,17,0.42685770988464355
100,67,17,29.820039987564087
