Epoch,FrontSize,Time
1,5,45.10517644882202
2,10,42.94870734214783
3,5,49.39871048927307
4,5,47.262749910354614
5,8,45.75440311431885
6,12,44.720306158065796
7,16,45.05542802810669
8,19,49.02438759803772
9,16,47.260573387145996
10,16,47.775094509124756
11,9,43.527122259140015
12,10,43.39125943183899
13,8,45.09101939201355
14,13,50.904770612716675
15,9,50.742071866989136
16,9,42.62374258041382
17,11,45.588175773620605
18,6,44.86046075820923
19,10,45.95172572135925
20,7,47.098347902297974
21,12,44.753833532333374
22,8,45.599411487579346
23,12,42.92385816574097
24,11,43.789806842803955
25,14,46.90972423553467
26,19,41.708240032196045
27,14,48.754143476486206
28,14,43.7518515586853
29,13,43.19249200820923
30,7,48.750197887420654
31,7,46.984872341156006
32,4,49.77328038215637
33,3,49.42546367645264
34,18,47.76904916763306
35,13,44.07722496986389
36,11,48.185890436172485
37,13,46.88852596282959
38,12,46.04656195640564
39,11,48.794129371643066
40,10,48.67358422279358
41,15,49.37157130241394
42,11,47.093406677246094
43,18,44.80920147895813
44,10,44.70910573005676
45,10,46.952913761138916
46,4,43.18246364593506
47,17,43.525744915008545
48,18,43.536994218826294
49,15,47.28800177574158
50,7,46.21710181236267
51,11,48.59804940223694
52,14,43.86326217651367
53,16,46.01019644737244
54,4,44.97866368293762
55,12,46.051430463790894
56,13,49.23571515083313
57,15,48.049354553222656
58,16,43.266841650009155
59,8,48.14243268966675
60,14,47.36393666267395
61,11,47.61210036277771
62,10,46.67400145530701
63,15,45.49791240692139
64,13,50.14670252799988
65,13,44.12136173248291
66,17,43.68206548690796
67,12,45.58266878128052
68,7,49.8448965549469
69,17,46.53079557418823
70,6,47.77710294723511
71,19,46.64441156387329
72,13,49.64568638801575
73,9,45.37924861907959
74,23,44.997191429138184
75,11,47.18245530128479
76,13,46.35569930076599
77,11,49.46550679206848
78,11,50.18741321563721
79,13,46.43706727027893
80,12,48.84964966773987
81,15,44.15085577964783
82,11,46.16336154937744
83,15,46.158711433410645
84,9,44.14528298377991
85,15,43.769630908966064
86,14,48.43177366256714
87,14,43.400097131729126
88,8,50.4456250667572
89,8,47.4569411277771
90,17,41.26863169670105
91,10,44.94455528259277
92,9,49.43403506278992
93,14,47.12943625450134
94,13,45.29103112220764
95,11,46.09758472442627
96,7,46.27856755256653
97,16,44.78435277938843
98,9,44.82473635673523
99,13,48.45655679702759
100,8,45.21592950820923
100,8,4644.857427358627
