,Epoch,FrontSize,Time
0,1,39,1.1908142566680908
1,2,50,1.7004492282867432
2,3,50,1.0102965831756592
3,4,50,1.1389553546905518
4,5,50,1.2007837295532227
5,5,50,7.131915330886841
