Epoch,FrontSize,Time
1,17,22.75444006919861
2,15,21.203303337097168
3,15,25.511767148971558
4,12,23.076582193374634
5,9,24.491427421569824
6,15,23.51039171218872
7,17,24.337509632110596
8,14,24.304461002349854
9,14,23.416189193725586
10,11,26.163098573684692
11,10,24.078964471817017
12,8,28.12445855140686
13,9,21.683715105056763
14,8,25.291545867919922
15,13,25.078986644744873
16,11,23.55842137336731
17,14,23.106765270233154
18,14,25.332982540130615
19,18,24.786865711212158
20,14,24.57634449005127
21,12,27.476452589035034
22,17,26.875324726104736
23,9,24.363924264907837
24,10,23.460208654403687
25,15,25.92652440071106
26,17,24.58776831626892
27,15,26.138878107070923
28,12,25.476281881332397
29,13,25.710601568222046
30,11,21.97625494003296
31,21,24.985748767852783
32,13,23.967294454574585
33,15,26.592687606811523
34,16,23.220402002334595
35,9,22.581273317337036
36,10,21.908976793289185
37,10,24.03869867324829
38,13,22.50587511062622
39,5,26.48832106590271
40,5,23.64331841468811
41,9,23.00794553756714
42,17,25.094210147857666
43,22,24.453489065170288
44,11,23.92027997970581
45,16,22.137591123580933
46,18,21.90878176689148
47,6,25.996757984161377
48,16,23.53342294692993
49,21,24.456812381744385
50,13,25.78098177909851
51,11,25.588733196258545
52,16,21.49819564819336
53,13,24.469160079956055
54,16,25.260428190231323
55,18,24.480632066726685
56,13,22.101223468780518
57,14,23.649680137634277
58,9,23.69589376449585
59,3,21.6729154586792
60,11,23.443740606307983
61,23,21.98805594444275
62,4,21.456032752990723
63,9,25.61915135383606
64,4,22.398008108139038
65,7,24.53505563735962
66,10,23.1431143283844
67,17,26.09817337989807
68,16,24.54352068901062
69,16,21.92880344390869
70,14,22.668087005615234
71,12,24.637675046920776
72,10,23.325055837631226
73,15,22.54590153694153
74,15,21.375025749206543
75,7,21.385573148727417
76,11,24.289372444152832
77,12,25.592955112457275
78,8,25.43956232070923
79,18,21.61938214302063
80,16,22.115954637527466
81,9,21.41939640045166
82,14,23.30040168762207
83,10,23.141931295394897
84,15,22.223284244537354
85,13,26.427456378936768
86,13,26.381181478500366
87,6,21.548380851745605
88,15,22.45860004425049
89,14,23.116233825683594
90,11,27.184610843658447
91,10,27.003315925598145
92,15,25.150630474090576
93,14,22.7005512714386
94,6,24.011425733566284
95,11,23.470791816711426
96,22,27.08681344985962
97,9,27.002424955368042
98,16,24.774121284484863
99,16,25.40807867050171
100,12,22.939863204956055
100,12,2411.736392259598
