Solution,Power,Latency,Cost
0,680.2253829962378,3786.5570666348394,196.73669260802936
1,716.0313041454266,3814.706995488127,195.82084717822124
2,675.4218334803766,3832.8368667950394,189.27010538351192
3,675.3925234379345,3881.4296433076443,193.48126699978008
4,704.6699616499105,3774.3129540668965,197.11298633756417
5,681.1787883726953,3807.039273312896,196.0446232813522
6,691.0738979538339,3819.6098322935923,193.14475793454534
7,681.2946088082898,3820.826289608506,194.16174055355384
8,674.9947620200378,3917.898798856234,190.37646307343155
