Epoch,FrontSize,ArchiveSize,Time
1,65,15,6.578219652175903
2,74,24,7.076412677764893
3,62,12,7.694554567337036
4,61,11,7.537541389465332
5,67,17,7.147478342056274
6,66,16,6.782007932662964
7,68,18,6.769465208053589
8,65,15,6.443649053573608
9,64,14,6.7880353927612305
10,65,15,7.001752853393555
11,64,14,6.844808101654053
12,68,18,6.9937615394592285
13,63,13,7.579310894012451
14,63,13,7.185342073440552
15,67,17,7.186690807342529
16,65,15,7.278967618942261
17,69,19,7.145414352416992
18,69,19,6.912023544311523
19,70,20,7.85537052154541
20,65,15,7.645155906677246
21,68,18,7.650979995727539
22,69,19,7.608108043670654
23,70,20,7.366471767425537
24,69,19,7.805388450622559
25,65,15,7.32434606552124
26,65,15,8.13379716873169
27,68,18,7.69579553604126
28,67,17,7.690340995788574
29,63,13,7.8569793701171875
30,63,13,7.1061437129974365
31,59,9,7.272005319595337
32,62,12,7.30936074256897
33,57,7,7.5615150928497314
34,62,12,7.401562929153442
35,60,10,7.401124715805054
36,60,10,8.050029516220093
37,60,10,6.657694578170776
38,58,8,8.396103382110596
39,64,14,6.9209113121032715
40,61,11,8.11040186882019
41,66,16,7.646682977676392
42,63,13,9.004899024963379
43,65,15,8.252792596817017
44,66,16,8.578145265579224
45,68,18,7.9873292446136475
46,70,20,7.80271053314209
47,70,20,8.464895486831665
48,73,23,9.237113952636719
49,68,18,7.561094760894775
50,74,24,7.665748834609985
51,76,26,8.000717878341675
52,78,28,8.579528093338013
53,83,33,9.106972694396973
54,89,39,9.284793376922607
55,91,41,10.127316951751709
56,90,40,8.423474550247192
57,98,48,8.240061044692993
58,95,45,8.266079425811768
59,97,47,7.84736704826355
60,98,48,8.420531272888184
61,93,43,7.779609441757202
62,96,46,8.111353158950806
63,96,46,7.198851823806763
64,96,46,8.130402565002441
65,96,46,8.189718246459961
66,99,49,7.311140298843384
67,99,49,7.215739727020264
68,100,50,7.96509313583374
69,100,50,9.058673858642578
70,100,50,9.394521713256836
71,99,49,8.977827548980713
72,97,47,9.01720905303955
73,100,50,9.008075475692749
74,99,49,8.273290634155273
75,100,50,8.135202646255493
76,100,50,8.618337631225586
77,100,50,8.087068557739258
78,97,47,8.584506034851074
79,100,50,9.264036893844604
80,100,50,8.467740058898926
81,100,50,8.10236406326294
82,100,50,9.424278497695923
83,100,50,9.886653661727905
84,100,50,8.104415655136108
85,99,49,7.367733001708984
86,100,50,8.095105409622192
87,100,50,8.439963579177856
88,100,50,8.564637899398804
89,98,48,9.162265539169312
90,100,50,9.370773315429688
91,100,50,9.29334831237793
92,100,50,8.140715837478638
93,100,50,8.136692523956299
94,100,50,8.414241313934326
95,100,50,8.180996179580688
96,100,50,7.971312046051025
97,100,50,8.743415117263794
98,100,50,9.374041080474854
99,100,50,8.805900812149048
100,100,50,8.979391813278198
100,100,50,811.9531905651093
