Epoch,FrontSize,Time
1,8,5.2048304080963135
2,12,6.617875337600708
3,10,5.534495830535889
4,15,5.682164430618286
5,17,5.490018844604492
6,11,5.57019829750061
7,13,5.235851764678955
8,19,5.291313886642456
9,19,5.244936466217041
10,9,5.953930854797363
11,13,6.422776222229004
12,18,6.946732521057129
13,11,6.685182332992554
14,9,6.205153226852417
15,15,7.108432292938232
16,5,6.35199761390686
17,12,6.626571416854858
18,10,6.060669183731079
19,17,6.873274803161621
20,20,5.506871461868286
21,13,5.326741456985474
22,11,5.353347301483154
23,11,5.487074375152588
24,18,5.62445592880249
25,15,5.288479328155518
26,12,5.575663805007935
27,7,5.520725727081299
28,11,5.482849836349487
29,15,5.22087836265564
30,9,6.945520877838135
31,12,6.576549053192139
32,19,6.137941598892212
33,8,6.5962159633636475
34,8,7.178092002868652
35,13,5.320056438446045
36,17,6.37200927734375
37,19,6.41748571395874
38,13,7.7968056201934814
39,8,5.824661016464233
40,15,6.882765531539917
41,10,5.6751627922058105
42,16,6.35168981552124
43,8,5.84349513053894
44,12,5.255030870437622
45,14,5.6148247718811035
46,14,5.52113676071167
47,11,5.364870309829712
48,17,5.352173328399658
49,18,5.279577255249023
50,14,5.59279203414917
51,14,6.570274591445923
52,11,5.7949206829071045
53,17,5.322737693786621
54,12,5.305691480636597
55,7,5.63878870010376
56,10,5.466442823410034
57,18,5.120297431945801
58,11,5.168954610824585
59,10,5.332658052444458
60,16,5.4528467655181885
61,10,7.427435874938965
62,8,5.569197177886963
63,9,5.318121671676636
64,12,6.2573370933532715
65,16,6.267411708831787
66,12,6.615300416946411
67,24,6.066700220108032
68,21,6.1609885692596436
69,15,6.746483325958252
70,12,6.0876853466033936
71,15,5.455012321472168
72,14,5.223823070526123
73,8,5.162293434143066
74,9,5.3907294273376465
75,15,6.210538864135742
76,13,5.542227029800415
77,11,5.358978986740112
78,15,5.2697060108184814
79,17,5.228718996047974
80,18,5.8571038246154785
81,13,5.331392765045166
82,14,6.988369941711426
83,9,6.937054395675659
84,6,5.377835035324097
85,7,5.71389627456665
86,17,5.936155319213867
87,12,5.690731525421143
88,16,5.417651176452637
89,13,5.233526706695557
90,10,5.64544677734375
91,11,6.769684553146362
92,8,5.105898141860962
93,7,5.272569417953491
94,14,6.545884847640991
95,12,5.653622627258301
96,11,5.374807119369507
97,5,5.238589286804199
98,12,5.2420735359191895
99,9,6.706854343414307
100,9,5.24054217338562
100,9,586.6037020683289
