Epoch,FrontSize,ArchiveSize,Time
1,57,7,6.94338321685791
2,61,11,5.62852931022644
3,62,12,5.674984693527222
4,63,13,5.654558420181274
5,63,13,5.5369110107421875
6,64,14,5.609694480895996
7,62,12,5.6216161251068115
8,63,13,5.600482702255249
9,65,15,5.628384590148926
10,66,16,6.124265909194946
11,68,18,5.811225652694702
12,63,13,6.571381568908691
13,65,15,5.654326677322388
14,65,15,5.512803077697754
15,66,16,5.540378093719482
16,66,16,5.662423372268677
17,66,16,6.255520582199097
18,64,14,5.787254571914673
19,65,15,7.220558404922485
20,65,15,6.003785133361816
21,65,15,5.555507659912109
22,65,15,5.549179315567017
23,66,16,5.52524471282959
24,67,17,5.6038384437561035
25,67,17,5.534068822860718
26,62,12,5.553422689437866
27,64,14,5.528262376785278
28,60,10,5.66986608505249
29,62,12,5.509998559951782
30,62,12,5.568492889404297
31,66,16,5.744199752807617
32,69,19,5.510627746582031
33,59,9,5.826080083847046
34,61,11,6.857692718505859
35,61,11,5.502813816070557
36,64,14,5.569466590881348
37,65,15,5.633501768112183
38,65,15,5.5955469608306885
39,65,15,5.6997363567352295
40,66,16,5.5493855476379395
41,67,17,5.6747400760650635
42,70,20,5.562252759933472
43,71,21,5.537466764450073
44,72,22,5.659536361694336
45,74,24,5.585136651992798
46,75,25,5.597557783126831
47,76,26,5.619787693023682
48,76,26,5.547837972640991
49,76,26,5.573099136352539
50,76,26,5.613571405410767
51,76,26,5.579749822616577
52,78,28,5.665532112121582
53,71,21,5.622830867767334
54,68,18,5.5310163497924805
55,65,15,5.58152437210083
56,70,20,5.497298002243042
57,70,20,5.5900046825408936
58,71,21,5.636848211288452
59,73,23,6.966463088989258
60,73,23,6.043372869491577
61,75,25,6.4748334884643555
62,77,27,5.712417125701904
63,77,27,5.585979700088501
64,79,29,6.025882720947266
65,80,30,5.616960287094116
66,80,30,6.42169976234436
67,80,30,6.507693529129028
68,80,30,5.617656469345093
69,81,31,5.5677289962768555
70,81,31,5.555934429168701
71,81,31,5.870869398117065
72,80,30,5.540297031402588
73,82,32,5.536982297897339
74,82,32,5.541069507598877
75,84,34,5.545891284942627
76,86,36,6.278911352157593
77,82,32,5.6132543087005615
78,83,33,6.539574861526489
79,86,36,5.938042640686035
80,85,35,5.638115882873535
81,89,39,5.846491813659668
82,91,41,5.5421953201293945
83,91,41,6.521432161331177
84,94,44,6.258533239364624
85,94,44,5.623925685882568
86,94,44,5.626062870025635
87,95,45,5.992829322814941
88,96,46,5.613680601119995
89,98,48,5.610628843307495
90,98,48,5.600847005844116
91,100,50,6.141563177108765
92,100,50,5.6597185134887695
93,98,48,5.794859886169434
94,99,49,5.68612265586853
95,99,49,6.329519510269165
96,99,49,7.29643702507019
97,100,50,6.663419961929321
98,100,50,6.040494918823242
99,99,49,5.825176000595093
100,99,49,5.881137132644653
100,99,49,591.9777703285217
