Epoch,FrontSize,ArchiveSize,Time
1,59,9,4.456077814102173
2,61,11,4.656535863876343
3,65,15,4.666512966156006
4,64,14,4.801152229309082
5,68,18,4.500956773757935
6,68,18,4.36830997467041
7,71,21,4.659534692764282
8,67,17,4.392244338989258
9,69,19,4.927813768386841
10,66,16,4.750255107879639
11,67,17,5.288880825042725
12,68,18,5.536186456680298
13,65,15,4.942774057388306
14,67,17,4.977646350860596
15,68,18,4.9009175300598145
16,65,15,4.549831390380859
17,65,15,5.660850763320923
18,62,12,4.476020574569702
19,62,12,4.65953254699707
20,60,10,4.820102214813232
21,62,12,4.68343186378479
22,60,10,4.494015216827393
23,62,12,5.95811915397644
24,60,10,4.731342315673828
25,60,10,4.584729194641113
26,58,8,4.417180061340332
27,60,10,4.933798551559448
28,60,10,5.66683554649353
29,62,12,4.354350328445435
30,65,15,4.371300935745239
31,63,13,4.442113637924194
32,64,14,4.721365928649902
33,67,17,4.392252683639526
34,70,20,5.160151481628418
35,64,14,4.5847697257995605
36,67,17,5.4683310985565186
37,67,17,4.708434581756592
38,69,19,4.867973566055298
39,69,19,4.694439888000488
40,72,22,5.079407453536987
41,68,18,5.2285802364349365
42,73,23,5.457432270050049
43,72,22,5.005610704421997
44,73,23,4.655536890029907
45,71,21,4.6036810874938965
46,73,23,4.8001556396484375
47,72,22,4.7911858558654785
48,75,25,4.936783790588379
49,74,24,4.827082633972168
50,74,24,4.602683782577515
51,76,26,4.706406354904175
52,76,26,5.115316152572632
53,76,26,5.006599426269531
54,74,24,5.4005467891693115
55,74,24,4.832075834274292
56,77,27,4.344370603561401
57,71,21,4.477020263671875
58,79,29,4.411200523376465
59,79,29,4.867969512939453
60,83,33,4.773193597793579
61,81,31,5.318801641464233
62,84,34,5.084394693374634
63,84,34,5.46138858795166
64,86,36,5.747617244720459
65,85,35,5.957060098648071
66,85,35,4.9178550243377686
67,86,36,6.332056283950806
68,88,38,4.962705373764038
69,88,38,5.816436290740967
70,87,37,6.502599477767944
71,88,38,4.559764862060547
72,91,41,5.428506851196289
73,96,46,4.932800531387329
74,97,47,5.240976572036743
75,97,47,5.630932569503784
76,97,47,5.7845213413238525
77,97,47,5.767566442489624
78,98,48,5.617974281311035
79,100,50,5.426472425460815
80,100,50,5.121295690536499
81,100,50,5.487315893173218
82,97,47,5.183132648468018
83,99,49,5.155205011367798
84,100,50,4.893904209136963
85,100,50,4.94975471496582
86,100,50,6.467708349227905
87,100,50,5.641887664794922
88,100,50,5.619962453842163
89,100,50,5.541172027587891
90,100,50,5.574085235595703
91,100,50,5.252943277359009
92,100,50,5.481347560882568
93,100,50,5.453390598297119
94,100,50,5.565125226974487
95,100,50,5.672805070877075
96,95,45,5.306799650192261
97,97,47,5.709722280502319
98,96,46,5.629899978637695
99,95,45,5.356700658798218
100,95,45,5.657860040664673
100,95,45,515.8214366436005
